"handle" "division" "max_division" "rating" "max_rating" "total_problems"
"1" "cebolinha" "International Master" "International Master" 2310 2316 1878
"2" "fofao_funk" "Master" "Master" 2265 2265 1876
"3" "Nson" "Master" "International Master" 2192 2398 3651
"4" "Agohal" "Master" "Master" 2175 2184 158
"5" "AlbertoTDNeto" "Master" "Master" 2121 2205 2915
"6" "Lius" "Candidate Master" "Master" 2083 2242 2085
"7" "arthur_9548" "Candidate Master" "Candidate Master" 2028 2045 728
"8" "pedrohlf" "Candidate Master" "Master" 2020 2167 1462
"9" "Vilsu" "Candidate Master" "Candidate Master" 2001 2001 1053
"10" "LeoRiether" "Candidate Master" "Master" 1992 2196 2890
"11" "lucassala" "Candidate Master" "Candidate Master" 1987 1987 1233
"12" "Tiagodfs" "Candidate Master" "Candidate Master" 1962 2061 2981
"13" "edsomjr" "Candidate Master" "Candidate Master" 1907 1907 949
"14" "TioGui" "Candidate Master" "Candidate Master" 1903 1903 41
"15" "rchehab" "Expert" "Candidate Master" 1869 1909 608
"16" "MagePetrus" "Expert" "Candidate Master" 1860 1946 855
"17" "wallacelw" "Expert" "Candidate Master" 1837 1921 1244
"18" "wrau" "Expert" "Expert" 1823 1823 28
"19" "PedroGallo" "Expert" "Candidate Master" 1762 1915 1252
"20" "mmello" "Expert" "Master" 1716 2111 1302
"21" "duduFreire" "Expert" "Expert" 1686 1686 761
"22" "duerno" "Expert" "Expert" 1682 1698 109
"23" "Maxwell01" "Expert" "Expert" 1672 1755 2223
"24" "tilnoene" "Expert" "Expert" 1665 1764 1560
"25" "marlonbymendes" "Expert" "Expert" 1656 1656 743
"26" "Gtaumaturgo" "Expert" "Expert" 1654 1770 1191
"27" "Thalisson_Alves" "Expert" "Expert" 1639 1832 735
"28" "Varguitas" "Expert" "Expert" 1637 1729 1340
"29" "Iagorrr" "Expert" "Expert" 1636 1636 740
"30" "henriqueramos.qs" "Expert" "Expert" 1630 1641 1348
"31" "arthurkomatsu" "Expert" "Expert" 1622 1679 348
"32" "Caiogoia" "Expert" "Expert" 1620 1708 1333
"33" "simiao" "Expert" "Expert" 1615 1812 561
"34" "RenatoBA" "Expert" "Expert" 1615 1636 654
"35" "liaoli" "Expert" "Expert" 1608 1608 1208
"36" "cristianobrust" "Expert" "Expert" 1606 1633 288
"37" "AndreBtt" "Expert" "Expert" 1605 1671 1021
"38" "hqrno" "Expert" "Expert" 1601 1669 114
